1000000000000000000 10000
412058430043047753 580024929073837295 0
85457885022494065 431028118842326121 0
320107298072774541 708076276999864416 0
171769980135550160 806068021692010379 0
528095987164112089 781798666563626785 0
877627677338656856 1137046662993429482 0
606888076420177996 704430724482529619 0
493750395467629071 766471432186449966 0
200990780938287164 309043807060991268 0
846642282904478294 1052808062000260239 0
46403576594854517 666242317412492687 0
414055830257360670 551193550560695404 0
590370523090394006 930362476037100556 0
782454607549855184 908918915928724851 0
718245819844095186 750788741567239120 0
782060036487018570 900352521276619680 0
701467841516846456 759507754701555999 0
288132025218848912 1129047675174780567 0
454153218914070402 565622202189874684 0
660862523603103455 794186220322563225 0
232413193242781040 933573430103741704 0
225232410517027534 822973658893980213 0
242718337617036331 630129951043377381 0
62293382307887440 370152880064374154 0
19438362193000915 782779783123240510 0
13933012945486889 354252914853816200 0
427939357237490842 736440939319938510 0
523732759507985067 1148966276395756669 0
442382237492949681 1089417295089978844 0
193354182228231171 896111350785632911 0
303235646490291333 568011777223002236 0
107562796459969003 431506363380015146 0
126133520172873122 778465113428296736 0
408013909645478555 793623507132703477 0
613377908652329906 1117886617532669237 0
204201160600743039 892354115043210556 0
897493212865843718 1040354770557881315 0
141947315447109828 217675111075652668 0
605610112334722691 637661946904616959 0
288075327530619555 781882373415035408 0
816504455563727090 839474695588209362 0
196218432325844112 334368719011746109 0
760275303342428830 864326927918794837 0
50485848453698859 1013474931058211072 0
99542525424145296 856584594217476880 0
1124590952677971123 1135393872926849193 0
664178460359019719 987310400266554081 0
468517616677288781 1043514467773327993 0
461427114227718397 1110520578463276343 0
443260853889443508 1085432867084541651 0
848809840018733911 869858208063870798 0
192355018678024819 204208042905101608 0
202294536289079458 670034834239383074 0
495475993951799161 901122992198153536 0
6234212123628804 566714829857243504 0
421378981289541564 902532129646357659 0
430487380566456780 565701317688137539 0
361813090720017082 384683205457406724 0
234129229281397697 1140736568791631447 0
211141461584083933 974609043755904312 0
440584372891475450 1114172139641992292 0
356187672374949051 484670230044539743 0
148594736244107815 782907942456528607 0
15916750380420336 409198902753604230 0
635903056862088094 990013101245141199 0
504839752232486695 723871763896057966 0
573971845800254919 1086141509063001480 0
651946919421485491 1027832790976308209 0
302855115624897288 721732839094168194 0
453283545663225974 1050537388500735009 0
135466012209251446 390494658068343023 0
131067129053611911 490953751140767412 0
442099191147130062 767348903974046620 0
156967153557126982 1047038833545424070 0
421429136518609172 1010096589558112064 0
816875105023253503 819991476227521625 0
633782356851996967 940801425230158627 0
57701851728842219 460030819875164505 0
28595524179916196 660232376878035964 0
113492663505270617 939535553325733969 0
24065390200456793 685679264220956327 0
174103867217674629 831236160456121010 0
591500961143018026 683874931387775264 0
78224961672967559 466350703948076740 0
895583464298441196 940973518420943051 0
252893885525593098 677690226386993448 0
192444628167744564 701361099481468823 0
6225471189791789 328868018054082229 0
423784671479258524 451695298672716971 0
235413740317449999 315352934393240087 0
443376968140837330 1021898308416048223 0
312791968177854898 1074852174584068827 0
523014623349518473 791794772724911193 0
639912476650362844 944922943084071825 0
244077922670198130 973494135717018764 0
219116872755683509 580808478299737652 0
1015535651016934781 1039170067600106206 0
234913863487509252 984829952977033439 0
349020829031875413 508082214142277578 0
44964271599307061 319610775008715501 0
228731562641919012 1015898858208737979 0
837037065577165463 930908443155233905 0
502882374815651756 623741848791403147 0
59275683933841485 925520134082194049 0
